음식점,위치(도로명),음식분류,술집,음식종류(사용 X),포장/배달전문,국물유무,URL
숯불애,서울 동작구 사당로 56 2층,한식,0,"소고기, 삼겹살",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA4MjRfMTk1%2FMDAxNzI0NTA3NDcxMzk3.ireUZ_1Gsg8xXrMRSR__owEDu-tDsZ8qkKkxykM9X8Eg.26NP1C-1w0JN2AMG1QNwcYIlorXBe4iGerLv6aRxeKcg.JPEG%2F84642C00-88EC-408C-B5D9-56819C8E51FC.jpeg%3Ftype%3Dw1500_60_sharpen
쑝쑝돈까스 서울숭실대점,서울 동작구 사당로 34 1층,일식,,돈까스,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDEwMjFfMTc3%2FMDAxNzI5NDkzMDk4MTQy.fs_wOitL-Bd1CyxOsmv5GHB0wQI25qL0gj_7khRFv7Ig.JaXvjDI97lefD8usw01s8djZTXLjGkk-vwQAQM3VTLgg.JPEG%2FE80C7A59-47A3-4689-99AA-713356DF1B3D.jpeg%3Ftype%3Dw1500_60_sharpen
상도로3가,서울 동작구 상도로61길 40 1층,술집,"1,2","소주, 숯불구이",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190911_93%2F15681896729456JhWC_JPEG%2FzpucvZvtEjHfpoAsndDhHvJZ.jpg
면식당 숭실대점,서울 동작구 사당로 24 2층,일식,,"라멘, 덮밥",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240101_95%2F1704095713164O784c_JPEG%2FKakaoTalk_20230407_220947481_09.jpg
순수치킨 숭실대점,서울 동작구 사당로 12-1,치킨,2,치킨,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240505_155%2F17149128401486O9Wo_JPEG%2F%25B0%25ED%25B8%25B6%25C4%25A1%25C5%25B2_%25C0%25CC%25B9%25CC%25C1%25F6%25C4%25C6.jpg
긴자료코 숭실대입구역점,서울 동작구 사당로 12 서정힐탑 지하1층 B01호,일식,0,"사케동, 우동",,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240530_35%2F1717048364228kA0qi_JPEG%2F53D7A0F7-CF8B-4377-9D03-C6BD7F5E5A19.jpeg
초밥이야기,서울 동작구 사당로 10,일식,,초밥,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDExMjZfMTg3%2FMDAxNzMyNjE2NTQxNDYy.G35qXYP_YC3WJ3FD1m8HQ3GENbLLQngG5qE4b5ryWTsg.w7newTdKaqGkQjRgxH9Ke0bAbLGZ4UH1OPS97qHYO1Ag.JPEG%2F1000023448.jpg.jpg%3Ftype%3Dw1500_60_sharpen
미태리 숭실대점,서울 동작구 상도로61길 35 1층 1-2호,양식,,파스타,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240725_170%2F1721890229220t9xTr_JPEG%2F4.jpg
프랭크버거 숭실대점,서울 동작구 사당로 6 1층,패스트푸드,0,햄버거,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220127_178%2F1643245206890AQPiC_JPEG%2F%25C7%25C1%25B7%25A9%25C5%25A9%25B9%25F6%25B0%25C5_CI%2528%25BB%25E7%25B0%25A2.2%25C2%25F7%25BA%25AF%25B0%25E6%2529.jpg
사랑과평화,서울 동작구 사당로 20 지하1층,술집,"1,2",소주,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240227_39%2F1708996511786RB8pH_JPEG%2FKakaoTalk_20240226_153534428_03.jpg
제이엘푸드 (기숙사식당),서울 동작구 상도로 369 레지던스홀식당 지하1층 구내식당,한식,,기숙사식당,,,
노모어피자 숭실대점,서울 동작구 사당로 2 1층,양식,,피자,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250110_78%2F1736478428514OEksN_JPEG%2F%25B9%25E8%25B4%25DE%25C0%25C7-%25B9%25CE%25C1%25B7-%25BB%25F3%25B4%25DC%25C0%25CC%25B9%25CC%25C1%25F6_250109-3.jpg
인쌩맥주 숭실대점,서울 동작구 상도로61길 43 1층,술집,"1,2",맥주,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230319_117%2F1679154967326ufJFO_JPEG%2F20230316_165558.jpg
니세코스프카레,서울 동작구 상도로61길 72 B101호,한식,0,카레,,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240910_274%2F1725942962927piVdp_JPEG%2FIMG_8433.jpg
도쿄라멘 숭실대점,서울 동작구 상도로67길 31 1층,일식,0,라멘,,1,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA3MDVfMzEg%2FMDAxNzIwMTY1MTkyMTIw.LWjQlFcTOJlj1Xh_OxxC0deD16jXsYwRl09myMpvX5cg.w_F0O6QkOnWlANM6dkZaiA51W5-lK40NvUPwY9PiXrAg.JPEG%2FKakaoTalk_20240705_162733189_05.jpg
한앤둘치킨,서울 동작구 상도로62길 5,치킨,2,치킨,,1,https://pcmap.place.naver.com/restaurant/20367575/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031618&locale=ko#
피자스쿨,서울 동작구 상도로 357 1층,패스트푸드,,피자,,,https://pcmap.place.naver.com/restaurant/18697595/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031616&locale=ko&filterType=업체#
파동추야,서울 동작구 상도로58길 4 1층,술집,"1,2,5","파전, 김치전",,,https://pcmap.place.naver.com/restaurant/20907435/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031615&locale=ko#
준호네 즉석 떡볶이,서울 동작구 상도로 357 1층,분식,0,떡볶이,,1,https://pcmap.place.naver.com/restaurant/37370414/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031615&locale=ko#
이모이모,서울 동작구 상도로 370,술집,"1,2",소주,,,https://pcmap.place.naver.com/restaurant/20918681/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031615&locale=ko#
이모네 참 족발보쌈,서울 동작구 상도로60길 1,한식,0,"족발, 보쌈",,,https://pcmap.place.naver.com/restaurant/20510599/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031614&locale=ko#
엄마손밥집,서울 동작구 상도로60길 9-1 1층,한식,0,"오므라이스, 제육덮밥",,,https://pcmap.place.naver.com/restaurant/341798928/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031614&locale=ko#
신전떡볶이,서울 동작구 상도로 372-3 1층,분식,0,떡볶이,,1,https://pcmap.place.naver.com/restaurant/38325757/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031613&locale=ko&filterType=음식#
진푸중화요리,서울 동작구 상도로 372-3 지하1층,중식,"1,2,5","마라탕, 마라샹궈",,,https://pcmap.place.naver.com/restaurant/1096132626/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031613&locale=ko#
상도곱창,서울 동작구 상도로 357 1층,한식,"1,2","소곱창, 대창",,1,https://pcmap.place.naver.com/restaurant/19877403/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031612&locale=ko&filterType=업체#
불타는 소금구이,서울 동작구 상도로58길 2 1층,한식,"1,2",돼지고기,,,https://pcmap.place.naver.com/restaurant/1132840177/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031612&locale=ko#
미가양꼬치,서울 동작구 상도로60길 6 1층,중식,"1,2",양꼬치,,,https://pcmap.place.naver.com/restaurant/485210664/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031611&locale=ko#
광양불고기준서네,서울 동작구 상도로56길 4,한식,0,"광양불고기, 육회",,,https://pcmap.place.naver.com/restaurant/31864103/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031611&locale=ko#
사리원,서울 동작구 상도로50길 2-15,한식,0,"만둣국, 만두전골",,,https://pcmap.place.naver.com/restaurant/12041152/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031610&locale=ko&filterType=업체#
상도동솥뚜껑 숭실대점,서울 동작구 상도로62길 35 1층,한식,0,삼겹살,,,https://pcmap.place.naver.com/restaurant/1496199235/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031610&locale=ko#
움프,서울 동작구 상도로 341-2 1층,술집,3,와인,,,https://pcmap.place.naver.com/restaurant/1099630312/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031609&locale=ko#
가야성,서울 동작구 상도로62길 33,중식,"1,2","짜장면, 탕수육",,,https://pcmap.place.naver.com/restaurant/18705540/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031608&locale=ko#
담다담 김밥집,서울 동작구 상도로 346-1,한식,,김밥,,,https://pcmap.place.naver.com/restaurant/1103356820/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031607&locale=ko#
맘스터치,서울 동작구 상도로 366 벽담빌딩 2층,패스트푸드,0,햄버거,,,https://pcmap.place.naver.com/restaurant/1094986056/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031607&locale=ko#
다원 맛칼국수,서울 동작구 상도로62길 29 1층,한식,0,칼국수,,1,https://pcmap.place.naver.com/restaurant/1035246242/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031606&locale=ko#
코코노포,서울 동작구 상도로 372-4,아시안,0,쌀국수,,,https://pcmap.place.naver.com/restaurant/1103963678/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031605&locale=ko#
오븐마루치킨,서울 동작구 상도로 332,치킨,0,치킨,,,https://pcmap.place.naver.com/restaurant/34412221/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031605&locale=ko#
상도김밥연구소,서울 동작구 상도로52길 28 1층,분식,0,김밥,,,https://pcmap.place.naver.com/restaurant/1287014089/photo#
교촌치킨,서울 동작구 상도로 370 1층,치킨,0,치킨,,,https://pcmap.place.naver.com/restaurant/1125716023/photo?entry=bmp&from=map&fromPanelNum=2&timestamp=202503031603&locale=ko#
쉐프의 목장,서울 동작구 상도로 357 2층,한식,0,고기,,,https://pcmap.place.naver.com/restaurant/1560145421/photo?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202503031603&locale=ko#
마루스시,서울 동작구 상도로37길 79,일식,0,초밥,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe0201ceac59c5d1b02af89cabf2dce51db23fc79%3Foriginal
롯데리아 숭실대입구역점,서울 동작구 상도로 343 1층,패스트푸드,0,햄버거,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7DE59252068F4720B83F098CFA2EEAEB
상도국수,서울 동작구 상도로37길 80 1층,한식,0,잔치국수,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F14E0448E05CA4ED08C5BD6D27626E5BF
야키오진격,서울 동작구 상도로37길 81 1층,일식,"1,2",야끼토리,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjhfMjEg%2FMDAxNzI0ODI0ODE2OTA4.AzVep36Cd6UdRLLrFDDUtle0Wic7wfC-Qn3wsjRwenYg.4WyvP3Iw6loy5UAIRqvC_D1PjAptubfgJWjJdZ8A-CIg.JPEG%2FIMG_6348.jpg%3Ftype%3Dw773
나비루,서울 동작구 상도로37길 63 지누빌딩 1층,한식,0,회덮밥,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9162DF17EA3B4CFA9CE598E3B0F0B648
광어삼촌,서울 동작구 상도로37길 62 1층,한식,"1,2",회/초밥,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2A928BFDFD1D4BF996E67EA374C1DE32
깍뚝집,서울 동작구 상도로37길 81 1층,한식,"1,2",소고기,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDJfNjgg%2FMDAxNzMzMTAxNTE1MDk1.BNFb64hZhAg4fYi6Ts6L1wz8BBJSdaEIeNLrO3mR7jQg.RuvSVk6efPXK48EJ5bktZ86VxLozHcZHu416jtQT6hAg.JPEG%2FIMG_0810.JPG%3Ftype%3Dw773
60계 서울상도점,서울 동작구 상도로 349-1,치킨,"1,2",치킨,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F85498C05E88C45A6850A905150690BE0
본죽&비빔밥cafe 숭실대역점,서울 동작구 상도로 351 1층,한식,0,"죽, 비빔밥",,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC03A9D831EF64282ACE903E71525BC61
교반육회비빔밥 숭실대점,서울 동작구 상도로37길 65,한식,0,육회비빔밥,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE45913F3F0C143CE8FB4CB45E19FA128
함지박,서울 동작구 상도로37길 68-1 1층,한식,0,백반,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7897047F01734021A3F2131E98389BFC
불타는꼬꼬발 숭실대점,서울 동작구 상도로 339-1 1층,한식,"1,2",닭발,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEyMDRfODgg%2FMDAxNjcwMTE4NTMxNDgw.RovJgSmG_8qfHM6ZL9ms8GSEQdHznJeVW0JcIsdZbCEg.w-Ef6K6D9mg5FRDofaXZ2TZCyL-qApo_zYwq40M5JiEg.JPEG.itoo8%2FIMG_8346.JPG%3Ftype%3Dw966
푸라닭치킨 상도1동점,서울 동작구 상도로 331 1층,치킨,2,치킨,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD409621B00A1457DA7C9FA6F38E12CC7
따올라이 상도점,서울 동작구 상도로49길 8 1층,아시안,"1,2","팟타이, 태국음식",,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MDNfMjM0%2FMDAxNzI1MzQzMTA4NjEy.__P7wq7_CE1htqA91MDnhIRWl-qxDZ4YUPsXOORFrw0g.vgRWbeLvQ7mMaqLjC9FKyg6HjqoY3p6IHPkeeJMKhx0g.JPEG%2F1724946908622%25EF%25BC%258D0.jpg%3Ftype%3Dw773
고모밥죠,서울 동작구 상도로37길 64 1층,한식,0,백반,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F817d78864077aca16026cfeba01dbeaef47cad91%3Foriginal
소문난 순대집,서울 동작구 상도로37길 65 1층,한식,0,"순댓국, 순대",,1,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3ae45fbcd095bf3afc970997528b2f2171396c87%3Foriginal
맛닭꼬 숭실대입구역점,서울 동작구 상도로37길 72 1층,치킨,"1,2",치킨,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMDhfMTk4%2FMDAxNzA3MzgwMjExNzYw.GbecYHXU2fHUdDpRa9pgQq4M8SAE9qwJRKmKhntO5jMg.RHI6QVwNSWFrcthO4aCDHzS1SDLY10Fh_d829qlQ4S0g.JPEG.doeunmo%2F20240127%25EF%25BC%25BF220107.jpg%3Ftype%3Dw773
다성반점,서울 동작구 상도로37길 54 1층,중식,0,차돌짬뽕,,1,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDD0794EC04694C6490249C8886F98AE6
동대문엽기떡볶이 숭실대점,서울 동작구 상도로 319 지층 1호,분식,0,떡볶이,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F16644A344D244D3B80E06D02A2462860
겹,서울 동작구 상도로47길 4 1층,한식,"1,2",삼겹살,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F701f7a830cd7153901361cb536ca9a10168cd658%3Foriginal
프라이밋스테이크하우스,서울 동작구 상도로37길 42,양식,0,스테이크,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa552270977e69ac59d12d9e11e8736a0e7615186%3Foriginal
스시투고 상도점,서울 동작구 상도로 313 1층,일식,0,초밥,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5566C7DC72D44466953169D81F6627DF
치킨마루 숭실대점,서울 동작구 상도1동 상도로 311 1층,치킨,"1,2",치킨,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE4E57F1D4F334CBE820BA66FBF6B606E
버거앤프라이즈,서울 동작구 상도로 305 더블유스타일 애비뉴 1층,패스트푸드,0,햄버거,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7906E7ED88BE47E19D5AA027E26CC36E
상도덮밥,서울 동작구 상도로41길 7 1층,한식,0,가츠동,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F04C287A8D374448FA40CF45D5432E7C0
북경,서울 동작구 상도1동 상도로37길 21 1층,중식,0,짜장면,,1,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2350cb83658ca5973cd1a0f672b571a72d928847%3Foriginal
선김밥 상도본점,서울 동작구 상도로 293 1층,분식,0,김밥,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMTFfMTUy%2FMDAxNzI4NjMwODQzMjU4.QVGqvHrphIHNrkszJbIeUrryPWzEM0zMQQ3B7hjn6VUg.xlL-UkDGTw1PIgQ_NunhzGnc1cCrqVAvvMUoQo-7214g.JPEG%2F1728630843016.jpg%3Ftype%3Dw773
빽찐라면,서울 동작구 상도로 295 가동 1층,한식,0,라면,,1,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff1ebc9686439ae775159c57bc081d03eb4326e66%3Foriginal
황새골,서울 동작구 상도로37길 74 지하1층,한식,0,"칼국수, 만두전골",,1,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE0285B73838D4859B2ADAF56AB740D57
생활맥주 숭실대입구역점,서울 동작구 상도로37길 76 리치타운 1층,술집,"1,2",치킨,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjVfMTky%2FMDAxNzMyNDc1OTY1MTMw.oxbkSzriHfBldR8QMcoGTZMtMf48yINi4qCAVUvUQEEg.3Nhv_e5Auwqh72ohjE2BYp3sEo0leYDq2h-Q5EDoWIMg.JPEG%2FKakaoTalk_20241125_041054620_17.jpg%3Ftype%3Dw580
알렉스플레이스 상도점,서울 동작구 상도로37길 31 1층,패스트푸드,0,햄버거,,,https://img1.kakaocdn.net/cthumb/local/R0x420.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCA1E444CC9404FCA868726A6FF41BF69
