음식점,위치(도로명),음식분류,술집,음식종류(사용 X),포장/배달전문,국물유무,URL
이삭토스트 숭실대점,서울 동작구 사당로 6-1 1층,패스트푸드,0,토스트,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250216_218%2F1739704604361Es1gD_JPEG%2F%25BF%25A1%25B1%25D7%25B8%25B6%25BF%25E4_%25B3%25D7%25C0%25CC%25B9%25F6_1080%25A1%25BF1080.jpg
이레김밥,서울 동작구 상도로63길 15 1층,한식,0,김밥,,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDExMTVfMTM3%2FMDAxNzMxNjM2MjkxOTYz.awpWKgEDElwka4_5cUkrPB-7kN7OCLVm0kFf1mE5sBsg.or91IjTHXLGuclOH5GOVdtT6lmq6rNPk5NZeRJlG_5Eg.JPEG%2F09DBDAE4-5056-4A6C-B37A-44FE02A03FDA.jpeg%3Ftype%3Dw1500_60_sharpen
으리으리,서울 동작구 상도로61길 44 지하1층,한식,"1,2",닭도리탕,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDAzMDVfMTc0%2FMDAxNzA5NjE0NDQwNzg2.8CS6EbCY6MZJP1KQBJCr_2NvhGapp9A8WFTSJewsui4g.CiCJqIeLt6Xawgy0SqZnacEpbfxZrZJtPX3QFS7Rp50g.JPEG%2FDAB2BB45-2A0C-49BD-BCA0-98487EE55C2D.jpeg%3Ftype%3Dw1500_60_sharpen
왕돈까스왕냉면 숭실대점,서울 동작구 상도로61가길 2,한식,0,"돈까스, 냉면",,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_41%2F1587195154450Adxws_JPEG%2FB5h66cQH16Q3TRQ8UetE7E-U.jpg
연래춘,서울 동작구 상도로67길 32 2층,중식,"1,5","짜장면, 짬뽕",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA4MjlfMTMg%2FMDAxNjYxNzM0MzgwMjEw.rKnWVepz7WpyXeoJpJZ4D9LSXF5z-qSbLpQwzTZ2vAYg.jB5b2AUtaxq00S7xC0CV9OuVrS_JeH5yPa3OBcR-Owsg.JPEG%2F47284FE6-822C-4EEB-B392-D1157F911B70.jpeg%3Ftype%3Dw1500_60_sharpen
엉클(UNCLE),서울 동작구 상도로61길 37,술집,"1,2",소주,1,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_25%2F1587198422586tep5S_JPEG%2FcQCvpthP3waUzDK5YkxcuCV9.jpg
씨밤,서울 동작구 상도로63길 21 1층,술집,"1,2",바베큐,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA2MTlfMjMx%2FMDAxNTI5MzcxMTg0ODc5.SSwnM9AG7mrPKiL49JMqHK3PrpoJPzdf2Eg3gn8ck5og.OqwhgDqqz0v1x1HAtFWhNKY9gbGKAir4R2pADQDIsY0g.JPEG.aeirmeki%2F20180531_125046.jpg
신의주찹쌀순대 숭실대점,서울 동작구 상도로61길 37,한식,"1,2",순댓국,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240613_258%2F1718245253608Y7gtx_PNG%2F%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BE%25F7%25C3%25BC%25C0%25CC%25B9%25CC%25C1%25F61.png
스톤504 스테이크하우스,서울 동작구 상도로61길 54 1층,양식,,스테이크,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220930_244%2F1664464673059OTQSu_JPEG%2FScreenshot_20220930-000327_Instagram.jpg
숯가마바베큐치킨,서울 동작구 상도로61길 44,치킨,"1,2",치킨,,1,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA5MDJfMjQ1%2FMDAxNjkzNjE4NDg5MzQz.FkDpq0JxUcB4QSLTPeovVEpDdfikaPbq0EUDtn3zZwIg.cHouni9q0psPJ09lOzL52GFFLYON35l5qD6HFzUoCnIg.JPEG.mike2214%2FIMG_1391.jpg
손칼국수,서울 동작구 사당로 32 1층,한식,0,"즉석떡볶이, 칼국수",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_280%2F1587178051008jIy97_JPEG%2FOtx2X7c90IMG-xVUDDKf0HbB.jpg
아리랑컵밥,서울 동작구 상도로67길 19 1층,한식,,컵밥,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180319_88%2F1521446682547omDSy_JPEG%2FGm4B0VXn45cv3xM3TffrnnlE.jpg
설쌈냉면 숭실대점,서울 동작구 사당로 20 2층 201호,한식,0,냉면,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzEwMjdfMTM4%2FMDAxNjk4MzgzNzUyNTg0.2aKuGbTgQLu1-MC1DJHAx15a_QvZA5fkqVxHFdc28xcg.qDw8-8sWiSp4kxI00P9JD6D650VPdRnBKywZWqN5QPkg.JPEG%2Fupload_689fd668238c365495a48315b01eb81c.jpeg%3Ftype%3Dw1500_60_sharpen
샤로스톤 숭실대점,서울 동작구 상도로61길 8-2,양식,0,스테이크,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161116_223%2F1479258969798yGU02_JPEG%2F177065407244739_0.jpeg
백채김치찌개 숭실대점,서울 동작구 상도로61길 35 1층,한식,2,김치찌개,,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240613_139%2F17182854314981tOWr_JPEG%2F3.jpg
